Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 Northern Mariana Islands,7,8,9,11,13,15,17,22,45,58,70,71,54,53,58,62,66,70,73,76,78
 Norway,3266,3428,3582,3724,3878,4008,4086,4153,4243,4360,4493,4625,4892,5208,5468,5683,5870,6026,6155,6267,6365
 Oman,489,540,602,682,784,921,1186,1498,1795,2139,2433,2697,2968,3287,3635,3982,4305,4601,4880,5147,5402
 Pakistan,40383,45536,51719,59047,67492,76457,85220,102079,118817,134186,152430,169279,184405,199086,213720,228386,242862,256594,269152,280553,290848
 Palau,8,9,10,11,13,13,14,14,16,18,20,21,21,22,22,23,23,23,23,24,23
 Palestine,1018,1055,1115,1212,1033,1201,1361,1578,1899,2508,3111,3599,4120,4656,5181,5680,6153,6606,7034,7426,7770
 Panama,893,1011,1148,1326,1532,1750,1960,2168,2394,2639,2900,3156,3411,3658,3895,4118,4323,4503,4654,4773,4860
 Papua New Guinea,1413,1546,1719,1941,2214,2505,2847,3229,3683,4216,4813,5440,6065,6673,7260,7824,8359,8859,9318,9733,10111
 Paraguay,1476,1684,1910,2171,2477,2849,3172,3634,4201,4826,5419,5926,6376,6784,7192,7603,7975,8280,8517,8700,8841
 Peru,7633,8672,9932,11468,13193,15162,17296,19380,21565,23864,25797,27443,28948,30445,31915,33284,34445,35376,36096,36619,36944
 Philippines,21132,24336,28026,32391,37253,42406,48290,54589,61481,68472,76452,84965,93137,100999,109181,117446,125685,133729,141428,148672,155381
 Poland,24825,27221,29590,31263,32527,33970,35579,37226,38120,38601,38655,38557,38617,38563,38283,37754,36985,36052,35028,33926,32739
 Portugal,8443,8693,9037,9129,9045,9412,9778,9898,9923,10066,10336,10567,10736,10826,10843,10807,10732,10616,10448,10220,9934
 Puerto Rico,2219,2251,2359,2597,2722,2936,3210,3383,3537,3684,3811,3822,3722,3599,3520,3477,3415,3330,3226,3109,2985
 Qatar,26,36,46,71,113,165,230,343,434,510,640,973,1720,2195,2445,2563,2596,2575,2550,2548,2559
 Republic of the Congo,827,904,1003,1124,1273,1456,1676,1927,2221,2570,2940,3473,4238,4756,5294,5948,6674,7475,8343,9259,10202
 Romania,16312,17326,18404,19028,20253,21246,22131,22522,22866,22688,22448,22198,21960,21667,21303,20873,20389,19870,19313,18712,18061
 Russia,101937,111126,119632,126542,130246,134294,139039,143938,147973,148759,147054,143320,142527,142424,145723,141120,138215,136313,134496,132432,129909
 Rwanda,2440,2699,3032,3265,3770,4357,5140,5987,7000,5473,8399,9612,11056,12662,14328,16081,17984,20081,22379,24859,27507
 Saint Barthélemy,3,3,3,3,3,3,3,4,6,7,8,8,8,8,8,8,8,7,7,7,7
 Saint Helena Ascension and Tristan da Cunha,6,6,6,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,8,8
 Saint Kitts and Nevis,45,50,52,49,47,45,44,43,42,44,46,48,50,52,54,56,57,58,58,58,57
 Saint Lucia,80,86,88,95,103,113,123,132,138,147,154,158,161,164,167,169,170,170,169,167,163
